"id_rubr","id_trubr"
"2090","2"
"2900","2"
"2960","2"
"2970","2"
"2980","2"
"940","3"
"2280","4"
"980","5"
"2090","5"
"4940","6"
"2760","7"
"3950","8"
"4360","9"
"1910","10"
"2070","12"
"830","13"
"2790","14"
"850","15"
"1330","15"
"1510","15"
"4610","16"
"3090","17"
"1350","18"
"3560","18"
"4994","20"
"3070","21"
"3400","21"
"4260","21"
"3070","22"
"3400","22"
"2540","24"
"2550","24"
"2570","24"
"720","25"
"1090","25"
"3340","26"
"3350","27"
"1670","28"
"1740","29"
"2080","30"
"1770","31"
"2210","32"
"4910","33"
"1730","34"
"3110","34"
"1110","35"
"960","37"
"2040","37"
"2330","37"
"2420","37"
"2710","37"
"4140","37"
"4170","37"
"4470","37"
"4490","37"
"4640","37"
"4680","37"
"1420","38"
"2330","38"
"2400","38"
"2420","38"
"3160","38"
"4140","38"
"4640","38"
"4984","38"
"2870","39"
"2820","40"
"3050","40"
"3840","40"
"3000","41"
"3100","41"
"3200","41"
"2320","42"
"920","43"
"2430","44"
"870","45"
"1860","46"
"1600","47"
"740","49"
"3810","50"
"2450","51"
"3120","51"
"3150","52"
"4590","53"
"4010","54"
"2680","55"
"4520","56"
"580","58"
"510","59"
"520","59"
"660","59"
"3290","59"
"612","60"
"1530","62"
"1590","63"
"4380","64"
"1570","65"
"2100","67"
"2580","67"
"3420","67"
"4230","67"
"2200","68"
"2580","68"
"4700","69"
"700","70"
"4240","71"
"2180","73"
"2560","74"
"1980","75"
"4400","75"
"3870","76"
"1950","77"
"3280","79"
"4710","80"
"3090","81"
"4670","82"
"4540","83"
"3800","85"
"4670","85"
"2390","86"
"1780","87"
