id,order_id,title,url,image,text
1,3,СМС-рассылка,,service_sms.png,"от 30 копеек за штуку <table class=""table""> <tbody> <tr> <th>Кол-во СМС в пакете</td> <th>Стоимость за 1 СМС (руб.)</th> </tr> <tr> <td>до 100</td> <td>0,9</td> </tr> <tr> <td>от 100 до 500</td> <td>0,8</td> </tr> <tr> <td>от 500 до 1000</td> <td>0,7</td> </tr> <tr> <td>от 1000 до 5000</td> <td>0,6</td> </tr> <tr> <td>от 5000 до 25 000</td> <td>0,5</td> </tr> <tr> <td>от 25 000 до 50 000</td> <td>0,4</td> </tr> <tr> <td>от 50 000 до 100 000</td> <td>0,3</td> </tr> <tr> <th>Кол-во СМС в пакете</td> <th>Стоимость за 1 СМС (руб.)</th> </tr> </tbody> </table>"
2,2,Аренда мобильного приложения и(или) интернет-магазина,/#renta,service_renta_2.png,"для продажи Ваших продуктов или услуг с мобильного устройства (планшет или телефон) <table class=""table""> <tbody> <tr> <th>Тарифы</th> <th>Минимальный</th> <th>Нормальный</th> <th>Максимальный</th> </tr> <tr> <td>Ежемесячная абонентская плата (руб.)</td> <td>5 000</td> <td>10 000</td> <td>20 000</td> </tr> <tr> <td><a href=""#"" title=""широкий охват аудитории"" class="""">Платформы: Android и iOS (iPhone и iPad)</a></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""приложение может работать без интернета"" class="""">Автономная работа без интернета</a> </td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""доступный способ информирования Ваших клиентов"" class="""">СМС-рассылка</a></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""набор номера телефона или скайп-звонок со смартфона клиента"" class="""">Набор номера телефона и Скайп-вызов</a></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""содержит логотип и описание Вашей компании "" class="""">О компании</a></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""список ваших контактов: (телефон, скайп, веб-сайт, электронная почта)"" class="""">Контакты</a></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""каталог продукции, где можно ознакомится с описанием товара, заказать, отложить или добавить в корзину."" class="""">Каталог товаров</a></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""схематичное расположение Вашего магазина или офиса"" class="""">Схема проезда</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""Поиск товара по названию, цене"" class="""">Поиск по всем товарам</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""список товаров для отправки заказа по смс, почте"" class="""">Корзина покупателя</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""покупатель может вернуться к покупке отложенных товаров позже"" class="""">Список желаний (отложенные товары)</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""информация обо всех обновлениях и акциях бренда"" class="""">Новости</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""Список всех купленных товаров клиента"" class="""">История покупок</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""Информирование клиентов (аналогично смс-рассылке, только бесплатно)"" class="""">Пуш-нотификации</a> </td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title=""Обновляйте каталог продукции без перевыпуска приложения в Вашем интернет-магазине"" class="""">Синхронизация с интернет-магазином</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td>Ежемесячная абонентская плата (руб.)</td> <td>5 000</td> <td>10 000</td> <td>20 000</td> </tr> </tbody> </table>"
3,1,Реклама в мобильном справочнике Владикавказа,,service_adv_ref.png,"<!--Чтобы разместить рекламу в справочнике или арендовать личное мобильное приложение посетите --> Для размещения рекламы в приложении требуется связаться с менеджером по телефонам: +7 (938) 861 67 88 и +7 (989) 748 03 10 <div class=""panel panel-default""> <!-- Default panel contents --> <!--<div class=""panel-heading"">Тарифные планы</div>--> <!--<div class=""panel-body"">--> <!--Минимальный, Нормальный и Максимальный. Выберите подходящий.--> <!--</div>--> <!-- Table --> <table class=""table""> <tbody> <tr> <th>Тарифные планы</td> <th>Бесплатный</th> <th><span class="""">Поисковой</span></th> <th><span class="""">Баннерный</span></th> <th><span class="""">Топовый</span></th> <th><span class="""">Все включено</spaan></th> </tr> <tr> <th><a href=""#"" title="""" class=""Price"">Ежемесячная абонентская плата (руб.)</a></td> <th><span class="""">0</span></th> <th><span class="""">1 000</span></th> <th><span class="""">2 000</span></th> <th><span class="""">2 000</span></th> <th><span class="""">3 000</span></th> </tr> <tr> <td><a href=""#"" title="""" class="""">размещение контактов Вашей компании (электронная почта, телефон, адрес, сайт)</a></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> 
<tr>
<td><a href=""#"" title="""" class="""">подбор категорий и рубрик</a></td>
<td><span class=""glyphicon glyphicon-ok""></span></td>
 <td><span class=""glyphicon glyphicon-ok""></span></td>
 <td><span class=""glyphicon glyphicon-ok""></span></td> 
<td><span class=""glyphicon glyphicon-ok""></span></td> 
<td><span class=""glyphicon glyphicon-ok""></span></td> 
</tr>
<tr>
<td><a href=""#"" title="""" class="""">описание компании</a></td>
<td><span class=""glyphicon glyphicon-remove""></span></td>
 <td><span class=""glyphicon glyphicon-ok""></span></td>
 <td><span class=""glyphicon glyphicon-ok""></span></td> 
<td><span class=""glyphicon glyphicon-ok""></span></td> 
<td><span class=""glyphicon glyphicon-ok""></span></td> 
</tr>
<tr> <td><a href=""#"" title="""" class="""">загрузка логотипа компании</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title="""" class="""">подбор ключевых слов для быстрого поиска Вашей компании</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title="""" class="""">баннер (реклама в виде картинки)</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <td><a href=""#"" title="""" class="""">нахождение в топе (вверху) при поиске</a></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> <td><span class=""glyphicon glyphicon-remove""></span></td> <td><span class=""glyphicon glyphicon-ok""></span></td> </tr> <tr> <th><a href=""#"" title="""" class=""Price"">Ежемесячная абонентская плата (руб.)</a></td> <th><span class="""">0</span></th> <th><span class="""">1 000</span></th> <th><span class="""">2 000</span></th> <th><span class="""">2 000</span></th> <th><span class="""">3 000</span></th> </tr> </tbody> </table> </div>"
